음식점,네이버 평점,카카오 평점
하이레,4.96,4.90
윤스쿡,4.39,4.5
화로상회 광운대본점,4.43,3.7
진미통닭,4.33,4.4
푸른스시 광운대본점,4.38,3.0
김밥천국 광운대점,4.27,3.3
신연마라탕,4.37,3.1
지지고 광운대점,4.36,2.8
프랭크버거 광운대점,4.52,4.6
카츠백 월계점,4.4,4.2
밥은화 광운대점,4.6,4.6
이층집,4.43,4.0
수해복마라탕 광운대점,4.83,3.89
디델리 서울 광운대점,4.46,3.24
장수국수,4.25,3.45
파파존스 광운대점,4.48,3.7
청년다방 광운대점,4.7,4.2
땡초불닭발동대문엽기떡볶이 월계점,4.37,4.1
더진국 수육국밥 광운대점,3.1,2.9
맛불,4.9,4.8
BBQ치킨 월계광운대점,3.85,1.4
경대컵밥,4.31,3.3
김가네 광운대점,4.47,4.5
맘스터치 피자앤치킨 광운대점,3.0,2.6
고씨네 광운대점,4.36,3.0
쉐프밥버거 광운대점,4.68,4.3
진심카츠 광운대점,4.56,3.8
썬더치킨 광운대점,4.48,4.3
꽃제비칼국수,4.43,4.1
학교종이땡땡땡 광운대점,4.31,3.3
ssam,4.13,3.94
민들레국시,4.08,4.7
부리또잇,3.8,3.5
진짜루,4.25,1.0
팔팔전어횟집,3.5,2.9
광운양꼬치,4.43,5.0
애슐리퀸즈 이마트 월계점,3.7,4.2
로스2000,4.34,5.0
한끼,4.24,3.5
뚝배기,4.54,4.5
마루,4.36,4.3
고센 기와집갈비,4.1,3.74
레드컵스 닭강정 광운대점,4.2,4.0
주공 장위직영,4.2,3.8
종로전집 광운대역,5.0,4.2
만남곱창,4.54,3.45
김바삭군의볼카츠마켙 광운대점,5.0,4.1
남해바다마차,4.2,3.5
스시다온,4.63,4.4
한상,4.28,2.7
정오아카데미 광운대점,3.0,2.4
석계창신동매운족발 1호점,4.47,3.2
일번지정육식당 돌곶이점,4.51,4.0
무명칼국수,4.51,4.3
배불뚜기,4.4,4.0
소문난멸치국수,4.28,3.4
진바배달삼겹,4.88,3.5
김과장고깃집 석계점,4.84,4.6
라체나1907,4.65,4.3
쭈삼이,4.1,3.87
하남돼지집 돌곶이역점,4.8,4.4
연어시장 석계본점,4.5,4.5
퀸 스테이크,4.09,3.1
파스타세끼,4.1,3.8
엄마마늘보쌈,4.51,4.1
짚신매운갈비찜 석계점,4.6,3.0
명가,4.5,4.4
온량,4.7,4.1
짜카,4.48,4.0
서민스시 장위 본점,4.67,3.8
더원,4.6,4.4
인생꼬치479 석계역점,4.8,4.5
